date,max_temp,min_temp
2026-03-09,34.3,18.6
2026-03-10,33.3,17.9
2026-03-11,35.7,17.9
2026-03-12,35.0,19.0
2026-03-13,32.5,20.5
2026-03-14,32.0,18.2
2026-03-15,26.5,16.7
2026-03-16,29.5,13.8
